SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
EIMCOELECO,EQ,04-Apr-2018,452.00,480.00,480.00,433.60,442.00,440.20,453.80,1304,5.92,66,1147,87.96
EKC,EQ,04-Apr-2018,44.55,44.95,46.00,42.30,43.35,43.35,44.29,800530,354.52,4353,320491,40.03
ELAND,EQ,04-Apr-2018,12.20,12.65,12.80,12.60,12.60,12.60,12.76,16289,2.08,71,11504,70.62
ELECON,EQ,04-Apr-2018,82.95,83.50,84.25,79.00,79.50,79.35,81.54,275873,224.95,2420,161339,58.48
ELECTCAST,EQ,04-Apr-2018,31.30,31.55,31.60,28.25,29.25,29.10,30.04,834638,250.72,3443,362402,43.42
ELECTHERM,EQ,04-Apr-2018,137.95,137.95,146.40,136.00,136.10,136.75,139.91,5474,7.66,136,3731,68.16
ELGIEQUIP,EQ,04-Apr-2018,286.30,292.00,297.00,275.05,282.00,277.20,288.75,40689,117.49,1541,18544,45.57
ELGIRUBCO,EQ,04-Apr-2018,43.95,43.65,44.65,42.50,42.95,42.75,43.86,14601,6.40,211,8995,61.61
EMAMIINFRA,EQ,04-Apr-2018,286.55,289.45,316.90,278.00,281.35,281.35,299.34,377215,1129.14,8840,139531,36.99
EMAMILTD,EQ,04-Apr-2018,1100.00,1100.80,1107.90,1080.00,1100.00,1093.75,1087.68,137215,1492.46,17336,96505,70.33
EMCO,EQ,04-Apr-2018,11.70,11.90,12.80,11.70,11.80,11.85,12.21,303905,37.10,816,213615,70.29
EMKAY,EQ,04-Apr-2018,154.90,156.90,160.00,153.65,154.95,154.15,156.49,29842,46.70,684,17025,57.05
EMMBI,EQ,04-Apr-2018,192.05,192.05,195.90,190.15,192.70,192.40,193.09,17120,33.06,235,13256,77.43
EMOFSR1RDP,MF,04-Apr-2018,9.00,9.80,9.80,9.49,9.50,9.54,9.65,5338,0.52,26,5338,100.00
EMOFSR1RGG,MF,04-Apr-2018,8.90,8.95,9.35,8.48,8.52,8.52,8.68,34325,2.98,26,33275,96.94
ENDURANCE,EQ,04-Apr-2018,1259.80,1289.75,1289.75,1259.90,1278.90,1272.85,1271.22,21761,276.63,1730,16162,74.27
ENERGYDEV,EQ,04-Apr-2018,19.55,19.95,20.50,19.50,19.60,19.55,20.03,42337,8.48,282,26793,63.29
ENGINERSIN,EQ,04-Apr-2018,163.90,164.80,165.50,162.50,162.50,162.85,163.37,1693949,2767.46,18511,693366,40.93
ENIL,EQ,04-Apr-2018,699.00,705.85,710.05,699.00,702.60,700.05,700.81,26292,184.26,768,23557,89.60
EON,EQ,04-Apr-2018,79.95,83.90,83.90,82.00,83.90,83.60,83.73,43350,36.30,264,25616,59.09
EQ30,EQ,04-Apr-2018,245.50,264.80,264.80,245.00,245.00,245.65,256.23,200,0.51,10,125,62.50
EQUITAS,EQ,04-Apr-2018,148.80,150.00,150.90,144.80,146.70,146.25,147.80,858876,1269.41,8949,235948,27.47
ERFLNCDI,N1,04-Apr-2018,1002.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,16,0.16,1,16,100.00
ERFLNCDI,N3,04-Apr-2018,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00,1,0.01,1,1,100.00
